Year,GDP_Growth_Pct,GDP_Per_Capita,Female_LFPR,NIFTY_FMCG_Index,HUL_Revenue_Proxy,ITC_Revenue_Proxy,Nestle_Revenue_Proxy,Female_WPR,LFPR_Lag1,WPR_Lag1,HUL_YoY_Growth,ITC_YoY_Growth,Nestle_YoY_Growth,Economic_Momentum
2015,7.99625378571471,1583.99815907985,26.582,20279.190437627032,30806,36507,8175,22.0,,,,,,12666.05127610738
2016,8.25630550179086,1707.50892912243,26.575,20599.846505017784,31972,37375,9159,21.8,26.582,22.0,3.7849769525417187,2.377626208672301,12.036697247706417,14097.71536587054
2017,6.79538341897911,1950.10468280866,26.578,24710.79031470514,33162,40623,10135,22.0,26.575,21.8,3.7220067559114334,8.69030100334449,10.656185173053823,13251.709026831486
2018,6.45385134497769,1966.25455171679,26.568,28738.416873094517,35223,40634,11216,23.3,26.578,22.0,6.214944816356072,0.02707825616030668,10.666008880118394,12689.914583165912
2019,3.87143694070356,2041.42863698585,26.539,30026.755165289254,38224,45784,12369,24.5,26.568,23.3,8.520001135621612,12.674115272924148,10.279957203994282,7903.262237037138
2020,-5.77772470686801,1907.04251637669,25.998,30038.8855029493,39783,46324,13350,28.7,26.539,24.5,4.078589367936369,1.1794513367115123,7.931118117875324,-11018.366663917344
2021,9.68959249192875,2239.61384367482,27.724,36476.4541015625,47028,48525,14710,31.4,25.998,28.7,18.211296282331645,4.751316812019679,10.187265917602994,21700.945484491225
2022,7.60936497768895,2347.44829434623,29.348,40319.97029984818,52446,59101,16897,32.5,27.724,31.4,11.520796121459554,21.79495105615663,14.867437117607075,17862.59083793386
2023,9.19075493028345,2530.12031278204,30.984,49846.64118303572,59144,70251,24275,35.9,29.348,32.5,12.771231361781643,18.866009035380117,43.6645558383145,23253.71573891184
2024,6.49476552383821,2694.73780859961,32.415,57855.91825691598,61896,73891,24394,37.0,30.984,35.9,4.653050182605156,5.181420905040501,0.4902162718846581,17501.690215076076
2025,6.49476552383821,2694.73780859961,32.415,55250.1520261687,63121,81613,20202,34.9,32.415,37.0,1.9791262763344974,10.450528481141141,-17.184553578748872,17501.690215076076
