Year,GDP_Growth_Pct,GDP_Per_Capita,Female_LFPR,NIFTY_FMCG_Index,HUL_Revenue_Proxy,ITC_Revenue_Proxy,Nestle_Revenue_Proxy
2015,7.99625378571471,1583.99815907985,26.582,20279.190437627032,30806,36507,8175
2016,8.25630550179086,1707.50892912243,26.575,20599.846505017784,31972,37375,9159
2017,6.79538341897911,1950.10468280866,26.578,24710.79031470514,33162,40623,10135
2018,6.45385134497769,1966.25455171679,26.568,28738.416873094513,35223,40634,11216
2019,3.87143694070356,2041.42863698585,26.539,30026.755165289258,38224,45784,12369
2020,-5.77772470686801,1907.04251637669,25.998,30038.8855029493,39783,46324,13350
2021,9.68959249192875,2239.61384367482,27.724,36476.4541015625,47028,48525,14710
2022,7.60936497768895,2347.44829434623,29.348,40319.97029984818,52446,59101,16897
2023,9.19075493028345,2530.12031278204,30.984,49846.64118303572,59144,70251,24275
2024,6.49476552383821,2694.73780859961,32.415,57855.91825691598,61896,73891,24394
2025,6.49476552383821,2694.73780859961,32.415,55250.1520261687,63121,81613,20202
